store_key,staff_key,store_inventory_quantity,date_time
280,3356,800,2014-10-01
89,4786,1500,2014-10-01
134,6763,1900,2014-10-01
80,3343,1000,2014-10-01
162,5473,1200,2014-10-01
187,3189,1500,2014-10-01
111,7715,800,2014-10-01
79,8198,700,2014-10-01
120,6939,1400,2014-10-01
169,3074,1700,2014-10-01
13,5990,1200,2014-10-01
31,4405,1100,2014-10-01
164,2346,1300,2014-10-01
28,5434,600,2014-10-01
253,3319,1600,2014-10-01
155,5615,800,2014-10-01
7,7104,1800,2014-10-01
142,5689,1300,2014-10-01
63,3557,600,2014-10-01
90,7192,900,2014-10-01
109,1094,2000,2014-10-01
233,2840,900,2014-10-01
260,3322,800,2014-10-01
48,598,1100,2014-10-01
210,2551,800,2014-10-01
241,2736,1400,2014-10-01
204,6291,1800,2014-10-01
116,2941,700,2014-10-01
83,6492,1200,2014-10-01
212,659,1900,2014-10-01
93,1799,1500,2014-10-01
103,4213,700,2014-10-01
42,8553,1500,2014-10-01
270,4269,800,2014-10-01
267,3951,1800,2014-10-01
60,8615,1200,2014-10-01
153,1826,1200,2014-10-01
86,3545,1800,2014-10-01
22,5907,1600,2014-10-01
84,3704,1000,2014-10-01
156,8347,1500,2014-10-01
59,4693,700,2014-10-01
231,5967,1000,2014-10-01
12,5779,500,2014-10-01
206,1364,1400,2014-10-01
270,8578,1300,2014-11-01
122,8089,1000,2014-11-01
12,5779,1000,2014-11-01
13,3767,600,2014-11-01
47,2846,1000,2014-11-01
120,1019,1700,2014-11-01
42,5086,800,2014-11-01
48,5593,1200,2014-11-01
153,6584,1900,2014-11-01
162,3210,1600,2014-11-01
204,2614,1600,2014-11-01
28,8069,800,2014-11-01
17,8276,1900,2014-11-01
31,8227,500,2014-11-01
212,8750,800,2014-11-01
164,2346,600,2014-11-01
260,3817,1600,2014-11-01
84,4590,1100,2014-11-01
63,3557,1700,2014-11-01
187,6594,1000,2014-11-01
233,5350,500,2014-11-01
176,8433,1100,2014-11-01
231,5967,600,2014-11-01
109,6143,700,2014-11-01
223,6429,1700,2014-11-01
110,3521,1700,2014-11-01
292,4122,700,2014-11-01
280,7141,1800,2014-11-01
196,38,1000,2014-11-01
80,7335,800,2014-11-01
59,4693,500,2014-11-01
206,2864,1900,2014-11-01
22,5907,1800,2014-11-01
165,2444,600,2014-11-01
194,180,1200,2014-11-01
156,8347,1800,2014-11-01
93,2936,1700,2014-11-01
241,6788,1600,2014-11-01
83,3403,1400,2014-11-01
210,2358,1300,2014-11-01
60,1497,1200,2014-11-01
116,2941,1700,2014-11-01
103,4213,1100,2014-11-01
86,8173,800,2014-11-01
267,832,1400,2014-11-01
89,4786,700,2014-11-01
90,5391,500,2014-11-01
155,5615,700,2014-11-01
253,8035,1500,2014-11-01
134,8438,1500,2014-11-01
169,8007,1900,2014-11-01
79,8198,1700,2014-11-01
118,5914,1200,2014-11-01
61,7481,900,2014-11-01
178,5066,1300,2014-11-01
142,1562,1900,2014-11-01
7,2133,1900,2014-11-01
111,4595,1700,2014-11-01
122,8089,1500,2014-12-01
90,5391,1700,2014-12-01
86,3545,1800,2014-12-01
194,8085,1100,2014-12-01
165,5332,900,2014-12-01
268,1254,1700,2014-12-01
169,3074,1800,2014-12-01
267,3951,1400,2014-12-01
270,8578,1400,2014-12-01
223,6429,1200,2014-12-01
13,5990,1200,2014-12-01
103,375,700,2014-12-01
196,551,600,2014-12-01
260,3322,1900,2014-12-01
57,7537,500,2014-12-01
164,2346,1600,2014-12-01
63,3557,1700,2014-12-01
162,97,1800,2014-12-01
28,8069,1400,2014-12-01
176,8433,800,2014-12-01
79,4705,1300,2014-12-01
134,6763,1200,2014-12-01
154,5966,800,2014-12-01
153,1826,800,2014-12-01
206,1609,900,2014-12-01
22,5445,1000,2014-12-01
199,3662,1700,2014-12-01
241,6788,1500,2014-12-01
89,6604,1300,2014-12-01
17,5974,1300,2014-12-01
244,7056,800,2014-12-01
212,8750,800,2014-12-01
38,305,1900,2014-12-01
83,6492,500,2014-12-01
47,6132,1600,2014-12-01
31,4414,2000,2014-12-01
118,4777,1400,2014-12-01
292,2498,1800,2014-12-01
248,4417,1700,2014-12-01
7,7104,700,2014-12-01
121,574,1900,2014-12-01
231,5967,500,2014-12-01
110,4793,1100,2014-12-01
114,3113,900,2014-12-01
80,616,1200,2014-12-01
111,5494,2000,2014-12-01
204,2614,1700,2014-12-01
178,8272,1600,2014-12-01
280,5358,2000,2014-12-01
247,2486,600,2014-12-01
233,5350,600,2014-12-01
60,8615,1400,2014-12-01
253,3319,700,2014-12-01
142,5682,2000,2014-12-01
61,7481,500,2014-12-01
120,6939,1900,2014-12-01
109,1094,900,2014-12-01
155,5502,1700,2014-12-01
116,7001,2000,2014-12-01
93,1799,2000,2014-12-01
42,2994,1300,2014-12-01
156,6995,900,2014-12-01
187,3189,2000,2014-12-01
12,2405,1900,2014-12-01
48,598,1100,2014-12-01
91,2906,2000,2014-12-01
210,2551,600,2014-12-01
145,4157,1200,2014-12-01
59,4693,700,2014-12-01
161,6494,1800,2014-12-01
84,5452,1700,2014-12-01
155,5502,700,2015-01-01
44,6472,1100,2015-01-01
270,8578,2000,2015-01-01
103,375,1000,2015-01-01
89,4786,700,2015-01-01
280,3356,1600,2015-01-01
93,1799,2000,2015-01-01
248,4417,1000,2015-01-01
196,38,1200,2015-01-01
134,8438,500,2015-01-01
142,5689,1100,2015-01-01
79,8198,1000,2015-01-01
114,6015,1900,2015-01-01
241,2019,1800,2015-01-01
110,7218,1100,2015-01-01
83,3403,1700,2015-01-01
59,1811,800,2015-01-01
38,305,700,2015-01-01
268,1254,1000,2015-01-01
210,2551,1100,2015-01-01
22,5907,900,2015-01-01
86,708,1400,2015-01-01
7,2133,1200,2015-01-01
41,5842,1700,2015-01-01
206,2864,1000,2015-01-01
247,5841,900,2015-01-01
165,2444,1000,2015-01-01
80,7335,1500,2015-01-01
223,6429,500,2015-01-01
267,3951,1200,2015-01-01
116,2941,900,2015-01-01
12,2405,900,2015-01-01
169,8007,700,2015-01-01
31,8227,1800,2015-01-01
118,3953,1500,2015-01-01
57,6891,1400,2015-01-01
63,7624,1300,2015-01-01
47,438,800,2015-01-01
111,4595,2000,2015-01-01
91,2041,1600,2015-01-01
176,8433,1200,2015-01-01
161,3920,1900,2015-01-01
156,6995,1200,2015-01-01
260,3322,2000,2015-01-01
84,5452,1900,2015-01-01
212,8750,600,2015-01-01
187,3189,1700,2015-01-01
199,6008,1600,2015-01-01
145,4157,800,2015-01-01
42,5086,600,2015-01-01
48,7846,1700,2015-01-01
204,2614,900,2015-01-01
122,7635,1500,2015-01-01
153,3145,1200,2015-01-01
162,3210,1600,2015-01-01
60,8615,1700,2015-01-01
28,5434,1800,2015-01-01
61,7481,600,2015-01-01
253,3319,1500,2015-01-01
90,7192,1200,2015-01-01
194,7414,1800,2015-01-01
233,5785,1200,2015-01-01
178,8272,1500,2015-01-01
231,5219,900,2015-01-01
292,8534,1000,2015-01-01
109,3660,900,2015-01-01
13,5022,1300,2015-01-01
120,6939,600,2015-01-01
17,8276,1400,2015-01-01
154,7108,1300,2015-01-01
244,3796,1400,2015-01-01
121,788,1400,2015-01-01
164,5239,1900,2015-01-01
41,7413,1300,2015-02-01
250,1646,800,2015-02-01
134,6763,1700,2015-02-01
17,5974,500,2015-02-01
194,180,1300,2015-02-01
114,3113,600,2015-02-01
233,5785,500,2015-02-01
111,7715,1000,2015-02-01
42,8553,1500,2015-02-01
59,1811,700,2015-02-01
292,8534,700,2015-02-01
248,2465,2000,2015-02-01
241,2736,1800,2015-02-01
93,2936,900,2015-02-01
231,5219,900,2015-02-01
109,1094,2000,2015-02-01
244,7056,2000,2015-02-01
120,1019,600,2015-02-01
121,7619,600,2015-02-01
28,5434,1200,2015-02-01
63,5057,1100,2015-02-01
31,4414,900,2015-02-01
47,438,700,2015-02-01
91,2906,1400,2015-02-01
176,4611,900,2015-02-01
57,6891,1700,2015-02-01
260,3817,1900,2015-02-01
187,3189,1400,2015-02-01
199,6008,1900,2015-02-01
48,598,1700,2015-02-01
122,7635,1900,2015-02-01
178,8489,1700,2015-02-01
60,1497,700,2015-02-01
253,3319,2000,2015-02-01
169,3074,1300,2015-02-01
103,7569,1700,2015-02-01
223,1549,1300,2015-02-01
268,1254,500,2015-02-01
165,5332,900,2015-02-01
267,3951,500,2015-02-01
44,5806,2000,2015-02-01
116,2070,1400,2015-02-01
110,7218,1900,2015-02-01
38,1496,900,2015-02-01
247,2486,1300,2015-02-01
22,5907,1800,2015-02-01
206,1609,900,2015-02-01
89,4786,600,2015-02-01
196,38,600,2015-02-01
190,5197,1300,2015-02-01
118,4777,1800,2015-02-01
61,7481,1700,2015-02-01
90,5836,1200,2015-02-01
270,8578,700,2015-02-01
204,6291,600,2015-02-01
84,4590,500,2015-02-01
142,1562,800,2015-02-01
12,2405,1000,2015-02-01
154,7108,900,2015-02-01
145,1114,1500,2015-02-01
218,7629,1000,2015-02-01
280,5358,1800,2015-02-01
155,5098,1400,2015-02-01
79,4705,1800,2015-02-01
86,3545,1100,2015-02-01
164,5239,2000,2015-02-01
212,8750,1500,2015-02-01
273,6622,1300,2015-02-01
7,743,1400,2015-02-01
83,3403,1100,2015-02-01
153,3145,800,2015-02-01
80,616,1500,2015-02-01
162,5473,700,2015-02-01
161,845,2000,2015-02-01
222,7365,1300,2015-02-01
156,6995,1200,2015-02-01
13,5990,500,2015-02-01
210,5856,1800,2015-02-01
90,7192,1500,2015-03-01
93,2936,500,2015-03-01
44,4230,900,2015-03-01
200,3666,1100,2015-03-01
210,2551,1200,2015-03-01
268,6987,900,2015-03-01
42,8553,700,2015-03-01
222,7365,800,2015-03-01
86,3545,1300,2015-03-01
57,8430,900,2015-03-01
79,8198,1000,2015-03-01
60,5399,1700,2015-03-01
84,3704,900,2015-03-01
116,2941,500,2015-03-01
61,7481,1600,2015-03-01
120,6939,700,2015-03-01
223,1549,600,2015-03-01
233,5350,1400,2015-03-01
273,7294,1500,2015-03-01
241,2019,1700,2015-03-01
80,7335,1000,2015-03-01
156,8347,800,2015-03-01
260,3322,900,2015-03-01
267,832,500,2015-03-01
251,1771,1200,2015-03-01
13,5990,1000,2015-03-01
22,5445,500,2015-03-01
155,5098,500,2015-03-01
162,3210,600,2015-03-01
28,863,1600,2015-03-01
62,4798,2000,2015-03-01
190,4114,1600,2015-03-01
196,38,500,2015-03-01
110,7218,2000,2015-03-01
154,6264,900,2015-03-01
253,3319,1500,2015-03-01
244,3796,1700,2015-03-01
206,1609,500,2015-03-01
63,5057,1400,2015-03-01
36,8730,1200,2015-03-01
121,788,2000,2015-03-01
165,2444,1500,2015-03-01
145,4157,1600,2015-03-01
7,2133,1000,2015-03-01
231,1938,1400,2015-03-01
178,8489,1000,2015-03-01
12,2405,1500,2015-03-01
280,7141,600,2015-03-01
250,5161,1700,2015-03-01
176,4611,800,2015-03-01
256,7463,1500,2015-03-01
218,3928,1000,2015-03-01
17,3911,1100,2015-03-01
41,5842,900,2015-03-01
164,5239,1600,2015-03-01
59,3331,1500,2015-03-01
48,5593,1300,2015-03-01
91,2811,1200,2015-03-01
89,4786,1600,2015-03-01
38,1496,1800,2015-03-01
212,8750,1700,2015-03-01
153,6584,800,2015-03-01
270,4269,500,2015-03-01
114,1145,1700,2015-03-01
161,6494,1400,2015-03-01
83,2955,1800,2015-03-01
194,8085,1700,2015-03-01
140,4568,1700,2015-03-01
187,5378,1000,2015-03-01
103,4213,700,2015-03-01
122,8089,800,2015-03-01
247,5841,700,2015-03-01
142,5689,1800,2015-03-01
204,6291,1900,2015-03-01
199,3997,1900,2015-03-01
134,520,1400,2015-03-01
119,1583,1100,2015-03-01
169,3074,1400,2015-03-01
31,4405,900,2015-03-01
118,4777,1800,2015-03-01
109,6143,1600,2015-03-01
292,4122,800,2015-03-01
47,2846,1300,2015-03-01
248,7903,1700,2015-03-01
160,1255,1400,2015-03-01
111,5494,700,2015-03-01
22,5907,1200,2015-04-01
190,5197,1400,2015-04-01
155,5502,900,2015-04-01
120,6939,1700,2015-04-01
7,7104,1500,2015-04-01
200,3666,1300,2015-04-01
62,4798,1200,2015-04-01
109,1094,1000,2015-04-01
156,8347,1700,2015-04-01
50,3688,1800,2015-04-01
245,2142,2000,2015-04-01
63,7624,1400,2015-04-01
187,3189,600,2015-04-01
114,3113,1200,2015-04-01
80,616,700,2015-04-01
89,4090,600,2015-04-01
148,4740,700,2015-04-01
119,1583,1200,2015-04-01
131,2714,1300,2015-04-01
154,5966,700,2015-04-01
262,7948,1300,2015-04-01
90,5836,1600,2015-04-01
250,1646,1500,2015-04-01
35,7131,1800,2015-04-01
244,2027,900,2015-04-01
178,8272,700,2015-04-01
57,6891,1100,2015-04-01
273,6622,1200,2015-04-01
206,1364,1900,2015-04-01
199,3662,1200,2015-04-01
60,8615,1700,2015-04-01
212,6552,1700,2015-04-01
169,3074,2000,2015-04-01
48,5593,1900,2015-04-01
47,438,600,2015-04-01
41,300,700,2015-04-01
218,3928,1200,2015-04-01
256,6847,1000,2015-04-01
140,6381,600,2015-04-01
247,5841,700,2015-04-01
121,7619,900,2015-04-01
122,7635,1500,2015-04-01
268,4456,1000,2015-04-01
38,1496,600,2015-04-01
59,3331,600,2015-04-01
164,5239,1800,2015-04-01
44,6472,500,2015-04-01
17,8276,1000,2015-04-01
222,7365,1800,2015-04-01
86,8173,500,2015-04-01
233,2840,700,2015-04-01
84,4590,800,2015-04-01
36,8730,800,2015-04-01
79,4705,1600,2015-04-01
180,2588,1500,2015-04-01
160,4065,700,2015-04-01
176,4611,1300,2015-04-01
118,5914,1500,2015-04-01
116,2941,1300,2015-04-01
280,3356,1300,2015-04-01
31,4414,900,2015-04-01
134,520,1900,2015-04-01
111,4595,700,2015-04-01
204,6291,1900,2015-04-01
142,1562,2000,2015-04-01
12,2405,1100,2015-04-01
42,2994,500,2015-04-01
165,3199,1000,2015-04-01
103,4213,900,2015-04-01
91,2041,800,2015-04-01
260,3322,1300,2015-04-01
267,832,1000,2015-04-01
248,4417,1600,2015-04-01
13,3767,1300,2015-04-01
292,4122,1000,2015-04-01
83,2955,1500,2015-04-01
194,7414,1100,2015-04-01
210,5856,700,2015-04-01
145,1836,900,2015-04-01
251,6816,1500,2015-04-01
161,6494,1800,2015-04-01
270,3497,1400,2015-04-01
153,3145,600,2015-04-01
61,7481,1500,2015-04-01
28,8069,1500,2015-04-01
231,5967,600,2015-04-01
196,38,2000,2015-04-01
241,6788,1300,2015-04-01
223,6429,700,2015-04-01
253,3319,1900,2015-04-01
162,3210,1000,2015-04-01
93,1799,1400,2015-04-01
110,3521,800,2015-04-01
12,5779,700,2015-05-01
187,5378,1000,2015-05-01
248,2465,1000,2015-05-01
262,7458,500,2015-05-01
256,54,1300,2015-05-01
161,845,1400,2015-05-01
212,6552,1700,2015-05-01
176,4611,700,2015-05-01
218,3482,1100,2015-05-01
245,2142,600,2015-05-01
233,5785,1100,2015-05-01
43,891,1100,2015-05-01
59,4693,1900,2015-05-01
42,5086,1400,2015-05-01
122,8089,2000,2015-05-01
260,1590,1700,2015-05-01
13,5990,700,2015-05-01
63,3557,500,2015-05-01
156,8347,1500,2015-05-01
62,1312,1800,2015-05-01
247,2311,800,2015-05-01
177,5808,800,2015-05-01
155,5098,1100,2015-05-01
162,5473,2000,2015-05-01
80,3343,600,2015-05-01
110,7218,1900,2015-05-01
148,6835,1000,2015-05-01
200,7454,1200,2015-05-01
121,788,1400,2015-05-01
145,1836,1300,2015-05-01
120,6939,900,2015-05-01
90,7192,700,2015-05-01
44,4230,1800,2015-05-01
91,2811,2000,2015-05-01
84,5452,1200,2015-05-01
109,1094,2000,2015-05-01
6,1830,1900,2015-05-01
31,8227,1200,2015-05-01
7,2133,1100,2015-05-01
169,3074,1400,2015-05-01
204,4532,500,2015-05-01
111,4595,1400,2015-05-01
47,6132,1400,2015-05-01
28,5434,1700,2015-05-01
114,1145,1200,2015-05-01
231,5219,1600,2015-05-01
160,1255,2000,2015-05-01
53,7798,500,2015-05-01
131,155,700,2015-05-01
244,3796,1000,2015-05-01
118,5914,1600,2015-05-01
60,5399,1900,2015-05-01
267,3951,1300,2015-05-01
154,5966,1600,2015-05-01
134,6763,1200,2015-05-01
57,6891,1200,2015-05-01
116,2941,1100,2015-05-01
83,3403,1800,2015-05-01
178,8489,1900,2015-05-01
210,2358,600,2015-05-01
142,5682,1900,2015-05-01
79,4705,600,2015-05-01
273,7294,1500,2015-05-01
35,710,1800,2015-05-01
86,708,1200,2015-05-01
61,1125,1800,2015-05-01
196,38,1900,2015-05-01
223,6429,500,2015-05-01
93,1799,600,2015-05-01
253,8035,1900,2015-05-01
241,2736,1200,2015-05-01
165,5332,800,2015-05-01
103,375,1700,2015-05-01
36,5763,1900,2015-05-01
180,2588,1700,2015-05-01
206,1609,1800,2015-05-01
268,1254,500,2015-05-01
192,4756,700,2015-05-01
190,8025,900,2015-05-01
222,4622,700,2015-05-01
22,5907,1600,2015-05-01
50,199,1500,2015-05-01
119,6016,1900,2015-05-01
251,1771,800,2015-05-01
48,5593,500,2015-05-01
199,3997,900,2015-05-01
140,4568,1500,2015-05-01
89,4786,800,2015-05-01
38,1496,1100,2015-05-01
153,6584,600,2015-05-01
270,4269,1600,2015-05-01
164,5344,1100,2015-05-01
194,180,500,2015-05-01
17,8276,1300,2015-05-01
280,7141,1700,2015-05-01
41,5842,600,2015-05-01
250,1646,700,2015-05-01
55,2271,1800,2015-05-01
286,8102,700,2015-05-01
292,8534,1500,2015-05-01
253,8035,1700,2015-06-01
44,5806,1600,2015-06-01
251,182,800,2015-06-01
145,4157,1200,2015-06-01
268,6987,1100,2015-06-01
121,7619,700,2015-06-01
196,551,1500,2015-06-01
28,8069,600,2015-06-01
43,891,1600,2015-06-01
140,6595,1700,2015-06-01
161,6494,1400,2015-06-01
248,2465,2000,2015-06-01
270,3497,1700,2015-06-01
165,2444,500,2015-06-01
36,8730,600,2015-06-01
110,4793,1300,2015-06-01
116,2941,600,2015-06-01
241,2736,1200,2015-06-01
194,8085,1300,2015-06-01
80,616,1100,2015-06-01
118,4777,1300,2015-06-01
142,5682,1500,2015-06-01
91,2906,1900,2015-06-01
103,7569,1100,2015-06-01
111,7715,1000,2015-06-01
42,5086,800,2015-06-01
12,5779,1900,2015-06-01
38,1496,1600,2015-06-01
55,2271,1900,2015-06-01
134,8438,1300,2015-06-01
17,5974,1400,2015-06-01
176,4611,1600,2015-06-01
83,3403,1100,2015-06-01
135,1463,600,2015-06-01
53,7798,800,2015-06-01
204,4532,1100,2015-06-01
233,5350,1000,2015-06-01
6,1830,1700,2015-06-01
164,2346,1100,2015-06-01
274,7968,900,2015-06-01
160,1255,1700,2015-06-01
79,4705,800,2015-06-01
280,7141,700,2015-06-01
86,3545,900,2015-06-01
59,1811,1900,2015-06-01
84,5452,1000,2015-06-01
153,3145,600,2015-06-01
222,815,600,2015-06-01
192,6991,900,2015-06-01
31,8227,1400,2015-06-01
122,7635,1300,2015-06-01
223,1549,1300,2015-06-01
154,5966,1900,2015-06-01
35,7131,1700,2015-06-01
47,6132,500,2015-06-01
148,4740,1200,2015-06-01
60,8615,1000,2015-06-01
131,155,1800,2015-06-01
156,8347,1600,2015-06-01
212,659,1400,2015-06-01
114,3113,600,2015-06-01
200,7454,1700,2015-06-01
273,6569,800,2015-06-01
120,6939,700,2015-06-01
90,7192,1300,2015-06-01
244,7056,700,2015-06-01
22,5445,800,2015-06-01
267,832,1400,2015-06-01
57,8430,1400,2015-06-01
109,1094,1900,2015-06-01
210,5856,800,2015-06-01
292,8534,800,2015-06-01
169,8007,800,2015-06-01
49,5610,1000,2015-06-01
199,6008,1500,2015-06-01
119,1583,1600,2015-06-01
218,3928,600,2015-06-01
250,1646,1000,2015-06-01
129,6376,800,2015-06-01
262,1993,2000,2015-06-01
256,7463,1900,2015-06-01
178,8489,900,2015-06-01
155,5098,1800,2015-06-01
150,8521,2000,2015-06-01
48,5593,500,2015-06-01
177,3855,1700,2015-06-01
231,1938,1900,2015-06-01
247,5841,1600,2015-06-01
187,6594,800,2015-06-01
236,2335,1200,2015-06-01
13,5990,700,2015-06-01
93,2936,1200,2015-06-01
286,1441,1300,2015-06-01
61,4960,2000,2015-06-01
260,3322,1500,2015-06-01
190,8025,500,2015-06-01
245,7673,1000,2015-06-01
137,7655,1200,2015-06-01
168,2608,1900,2015-06-01
206,2864,1800,2015-06-01
162,5473,600,2015-06-01
180,6845,1900,2015-06-01
63,3557,900,2015-06-01
41,7413,1000,2015-06-01
