product_key,staff_key,customer_key,order_quantity,order_total_money,order_discount,order_shipping_cost,order_profit,order_payment_method,order_date_time
7,7846,29846,4.0,367.3,0.2,2.5,24.9,e_wallet,2018-10-04 00:00:13
8,8110,37165,1.0,176.1,0.3,14.4,144.1,credit_card,2018-12-12 01:50:26
0,4774,10948,1.0,103.6,0.3,5.6,55.8,credit_card,2018-05-02 11:45:38
1,849,25726,1.0,158.89999999999998,0.3,11.2,112.0,credit_card,2018-08-25 13:50:30
2,1506,33944,1.0,97.10000000000001,0.2,3.5,34.7,money_order,2018-11-10 11:58:33
3,7736,7501,1.0,85.3,0.3,2.7,27.4,credit_card,2018-09-16 21:15:39
4,882,5904,1.0,216.5,0.2,16.5,165.0,credit_card,2018-03-12 13:56:04
5,6972,23169,4.0,203.4,0.3,1.8,18.0,credit_card,2018-08-03 12:38:58
6,3895,22438,4.0,152.6,0.3,1.4,13.5,credit_card,2018-07-29 23:34:51
7,4439,24820,4.0,413.3,0.1,2.9,29.4,credit_card,2018-08-17 15:59:46
8,5400,9341,1.0,174.5,0.3,12.8,127.9,credit_card,2018-08-21 18:15:12
0,4433,11558,5.0,493.19999999999993,0.3,3.2,32.0,credit_card,2018-07-30 21:37:10
1,1783,29507,4.0,771.9,0.1,12.3,122.6,credit_card,2018-10-01 12:23:13
2,5858,38568,1.0,85.1,0.3,3.2,32.3,credit_card,2018-12-26 17:12:18
3,2512,14043,5.0,414.4,0.3,1.4,14.4,money_order,2018-05-19 18:53:40
4,5873,9537,5.0,888.3,0.3,13.3,132.5,credit_card,2018-04-24 21:27:48
5,3318,33115,5.0,289.4,0.2,1.4,14.4,credit_card,2018-11-04 17:10:39
6,2011,21945,5.0,244.1,0.1,1.1,10.8,money_order,2018-11-04 23:25:30
7,2044,13934,4.0,320.8,0.3,1.6,15.8,credit_card,2018-05-18 13:55:47
8,808,1895,4.0,658.1999999999999,0.3,11.4,114.0,money_order,2018-05-14 20:28:25
0,45,13711,1.0,102.6,0.3,4.6,46.0,credit_card,2018-05-17 16:59:11
1,4791,22427,1.0,202.8,0.1,12.9,128.9,credit_card,2018-07-29 11:24:17
2,3257,12544,4.0,328.99999999999994,0.3,1.4,13.6,credit_card,2018-11-09 20:19:05
3,5997,22982,5.0,414.4,0.3,1.4,14.4,credit_card,2018-08-01 14:02:19
4,3585,22205,1.0,241.5,0.1,16.5,165.0,credit_card,2018-10-26 13:42:52
5,851,22050,1.0,68.39999999999999,0.1,3.6,36.0,credit_card,2018-07-26 14:39:59
6,3108,6251,5.0,190.1,0.3,1.1,10.8,credit_card,2018-03-15 00:06:10
7,7938,36082,4.0,320.3,0.3,1.1,11.2,credit_card,2018-11-30 08:15:24
8,1644,30607,1.0,175.0,0.3,13.3,132.5,money_order,2018-10-11 10:25:52
0,8267,30665,1.0,103.2,0.3,5.2,51.6,money_order,2018-10-11 08:18:19
1,5059,36893,1.0,202.8,0.1,12.9,128.9,credit_card,2018-12-09 14:50:15
2,5173,23517,4.0,377.20000000000005,0.2,2.8,27.6,credit_card,2018-12-13 18:14:36
3,2197,30877,1.0,84.6,0.3,2.0,20.3,credit_card,2018-10-13 21:11:26
4,423,10740,1.0,191.0,0.3,16.0,160.0,credit_card,2018-04-30 22:02:15
5,566,33276,1.0,54.0,0.3,3.6,36.0,credit_card,2018-11-05 13:09:48
6,5854,8314,5.0,244.1,0.1,1.1,10.8,credit_card,2018-04-15 11:31:41
7,5704,4457,1.0,105.7,0.1,3.1,30.6,credit_card,2018-08-19 20:31:09
8,7451,28421,5.0,936.8,0.2,12.8,127.9,money_order,2018-09-22 08:48:13
0,4986,15894,1.0,103.3,0.3,5.3,53.0,credit_card,2018-06-07 21:44:54
1,150,8390,1.0,158.7,0.3,11.0,109.9,money_order,2018-08-10 13:26:59
2,8596,31417,1.0,97.10000000000001,0.2,3.5,34.7,credit_card,2018-10-18 16:02:23
3,4270,30839,1.0,109.9,0.1,3.7,36.8,credit_card,2018-10-13 13:47:39
4,126,2178,1.0,241.8,0.1,16.8,167.5,money_order,2018-07-15 08:33:19
5,793,3298,1.0,64.8,0.2,7.2,72.0,e_wallet,2018-02-13 14:27:11
6,3749,27488,1.0,43.199999999999996,0.3,5.4,54.0,credit_card,2018-09-13 08:44:17
7,1677,24675,4.0,321.2,0.3,2.0,20.3,e_wallet,2018-08-15 10:33:30
8,4487,25101,1.0,173.29999999999998,0.3,11.6,116.4,credit_card,2018-08-20 11:45:39
0,6056,28219,4.0,395.2,0.3,3.2,32.0,money_order,2018-09-20 17:15:46
1,6792,3554,5.0,961.5,0.1,12.0,120.5,credit_card,2018-02-15 09:19:48
2,59,21667,4.0,424.4,0.1,3.2,32.3,credit_card,2018-07-28 16:52:55
3,5014,22334,1.0,109.9,0.1,3.7,36.8,e_wallet,2018-11-09 18:32:47
4,7501,1272,4.0,714.0,0.3,14.0,140.0,credit_card,2018-11-26 22:04:34
5,1407,22599,4.0,203.4,0.3,1.8,18.0,credit_card,2018-07-30 03:06:35
6,661,6759,5.0,190.1,0.3,1.1,10.8,credit_card,2018-03-22 00:17:37
7,375,1088,1.0,82.6,0.3,2.8,28.3,credit_card,2018-09-06 22:39:29
8,2346,12172,1.0,176.1,0.3,14.4,144.1,credit_card,2018-05-09 20:48:59
0,2314,2278,1.0,131.9,0.1,5.9,58.6,credit_card,2018-09-20 20:42:44
1,7039,1349,5.0,748.4,0.3,9.9,99.4,credit_card,2018-01-16 14:56:50
2,1727,5500,1.0,96.60000000000001,0.2,3.0,30.0,credit_card,2018-03-08 09:42:43
3,6735,35816,1.0,85.5,0.3,2.9,28.6,credit_card,2018-11-26 16:53:30
4,4167,16718,4.0,712.0,0.3,12.0,120.0,debit_card,2018-08-27 12:55:42
5,554,11185,1.0,61.2,0.2,3.6,36.0,credit_card,2018-05-11 13:10:51
6,2078,17644,1.0,40.5,0.3,2.7,27.0,credit_card,2018-06-22 19:22:22
7,6486,10783,1.0,82.3,0.3,2.5,24.9,credit_card,2018-05-01 08:12:37
8,4796,3795,5.0,819.0,0.3,10.5,104.8,credit_card,2018-02-19 22:17:15
0,4245,27328,1.0,103.4,0.3,5.4,54.4,credit_card,2018-09-11 22:32:31
1,6378,6650,1.0,202.4,0.1,12.5,124.7,credit_card,2018-03-20 23:45:07
2,1963,7794,1.0,96.80000000000001,0.2,3.2,32.3,credit_card,2018-09-22 23:23:18
3,6980,32956,4.0,332.29999999999995,0.3,1.9,19.1,credit_card,2018-11-03 08:59:39
4,6307,13185,4.0,714.0,0.3,14.0,140.0,credit_card,2018-05-14 08:35:33
5,1230,8972,,,0.1,3.6,36.0,credit_card,2018-04-22 11:32:22
6,6722,3642,5.0,217.1,0.2,1.1,10.8,credit_card,2018-12-30 07:50:33
7,4128,29933,1.0,81.8,0.3,2.0,20.3,credit_card,2018-10-05 09:10:34
8,2898,35775,1.0,199.0,0.2,14.2,141.8,credit_card,2018-11-26 11:04:26
0,3019,13666,1.0,131.9,0.1,5.9,58.6,credit_card,2018-05-17 08:36:11
1,7189,2667,5.0,748.4,0.3,9.9,99.4,money_order,2018-07-30 22:41:44
2,827,36157,1.0,84.49999999999999,0.3,2.6,26.5,credit_card,2018-12-01 22:14:26
3,4449,23557,5.0,414.4,0.3,1.4,14.4,e_wallet,2018-08-06 21:09:10
4,8520,18329,1.0,188.3,0.3,13.3,132.5,credit_card,2018-06-28 23:45:53
5,1217,18239,4.0,203.4,0.3,1.8,18.0,credit_card,2018-06-27 22:04:34
6,477,18855,5.0,244.1,0.1,1.1,10.8,credit_card,2018-07-01 15:42:32
7,7874,4457,1.0,94.10000000000001,0.2,2.9,29.4,credit_card,2018-02-27 12:07:22
8,5907,10350,1.0,198.5,0.2,13.7,137.1,money_order,2018-04-28 21:00:44
0,68,6527,4.0,396.3,0.3,4.3,43.2,credit_card,2018-08-01 12:31:21
1,4158,35510,1.0,157.6,0.3,9.9,99.4,credit_card,2018-11-22 16:10:29
2,4569,19456,5.0,410.3,0.3,0.8,7.8,credit_card,2018-07-06 23:36:15
3,1164,12167,1.0,109.60000000000001,0.1,3.4,34.5,debit_card,2018-05-09 18:27:00
4,5783,10008,5.0,1140.8,0.1,15.8,157.5,credit_card,2018-04-26 17:49:46
5,8539,32304,1.0,54.0,0.3,3.6,36.0,credit_card,2018-10-27 23:11:57
6,8478,17774,4.0,174.20000000000002,0.2,1.4,13.5,credit_card,2018-06-23 10:32:39
7,6916,35268,5.0,399.6,0.3,0.6,5.5,credit_card,2018-11-20 18:24:30
8,1875,18758,4.0,752.5,0.2,13.3,132.5,credit_card,2018-06-30 07:51:17
0,8549,31292,1.0,103.4,0.3,5.4,54.4,credit_card,2018-12-30 14:20:46
1,2187,36660,1.0,158.29999999999998,0.3,10.6,105.7,credit_card,2018-12-07 23:00:33
2,14,12012,5.0,529.6,0.1,3.1,31.2,credit_card,2018-05-08 22:12:34
3,6398,14595,5.0,415.0,0.3,2.0,20.3,credit_card,2018-12-30 14:46:00
4,6689,9454,4.0,712.0,0.3,12.0,120.0,e_wallet,2018-04-24 21:55:22
5,6615,28819,4.0,203.4,0.3,1.8,18.0,credit_card,2018-09-25 22:18:10
6,7390,20617,1.0,54.0,0.1,5.4,54.0,money_order,2018-07-16 10:27:45
7,4269,8886,1.0,93.9,0.2,2.7,27.2,credit_card,2018-04-21 12:08:32
8,3986,1622,1.0,222.8,0.1,14.9,148.7,money_order,2018-01-19 15:08:48
0,2378,21421,1.0,131.9,0.1,5.9,58.6,credit_card,2018-07-22 15:19:05
1,7618,4810,1.0,202.4,0.1,12.5,124.7,credit_card,2018-03-02 14:28:03
2,7793,38558,5.0,410.9,0.3,1.4,13.6,credit_card,2018-12-26 09:14:26
3,8708,16178,5.0,474.6,0.2,2.6,26.2,credit_card,2018-06-09 06:37:43
4,6071,23595,1.0,215.5,0.2,15.5,155.0,money_order,2018-08-06 18:25:39
5,1972,20492,5.0,253.39999999999998,0.3,1.4,14.4,credit_card,2018-07-18 13:39:54
6,4231,38697,1.0,48.6,0.2,5.4,54.0,credit_card,2018-12-28 16:03:34
7,4612,30294,5.0,399.6,0.3,0.6,5.5,e_wallet,2018-10-08 12:19:58
8,6180,19907,1.0,199.0,0.2,14.2,141.8,money_order,2018-07-10 12:23:05
0,1264,13503,1.0,103.6,0.3,5.6,55.8,credit_card,2018-05-16 16:10:21
1,6903,19321,4.0,686.6,0.2,11.4,114.1,credit_card,2018-07-05 18:40:47
2,2979,3919,5.0,410.9,0.3,1.4,13.6,credit_card,2018-02-20 17:12:34
3,5874,25266,5.0,414.4,0.3,1.4,14.4,credit_card,2018-08-21 17:15:49
4,4796,16244,4.0,712.0,0.3,12.0,120.0,e_wallet,2018-06-10 14:18:40
5,1512,8554,5.0,253.39999999999998,0.3,1.4,14.4,credit_card,2018-09-26 16:14:11
6,7405,10149,5.0,190.1,0.3,1.1,10.8,credit_card,2018-04-27 19:24:52
7,8060,12585,4.0,320.3,0.3,1.1,11.2,money_order,2018-05-11 16:35:19
8,4910,14725,1.0,175.6,0.3,13.9,139.5,credit_card,2018-05-25 08:54:21
0,1091,10045,5.0,635.3,0.1,5.3,53.0,money_order,2018-04-26 09:32:06
1,6734,8537,5.0,747.4,0.3,8.9,88.8,credit_card,2018-04-17 21:14:42
2,172,16930,1.0,97.10000000000001,0.2,3.5,34.7,credit_card,2018-07-23 18:27:07
3,445,24483,5.0,413.9,0.3,0.9,8.5,credit_card,2018-08-14 13:05:17
4,605,29415,1.0,191.0,0.3,16.0,160.0,credit_card,2018-09-30 22:43:56
5,6620,13391,1.0,60.0,0.2,2.4,24.0,credit_card,2018-05-15 16:29:03
6,6298,21449,4.0,152.6,0.3,1.4,13.5,credit_card,2018-07-22 19:16:47
7,1604,31911,4.0,320.8,0.3,1.6,15.8,money_order,2018-10-24 19:01:52
8,4088,18957,1.0,176.1,0.3,14.4,144.1,credit_card,2018-07-02 12:54:20
0,1502,34198,1.0,131.9,0.1,5.9,58.6,credit_card,2018-12-06 00:14:28
1,1465,342,5.0,748.4,0.3,9.9,99.4,credit_card,2018-01-04 23:02:21
2,3086,6728,4.0,424.4,0.1,3.2,32.3,money_order,2018-03-21 17:43:41
3,816,1152,1.0,85.8,0.3,3.2,32.1,money_order,2018-08-02 16:15:41
4,6396,29506,1.0,241.3,0.1,16.3,162.5,credit_card,2018-10-01 11:26:06
5,4340,33851,1.0,67.2,0.1,2.4,24.0,credit_card,2018-11-09 16:23:03
6,8677,8334,5.0,190.1,0.3,1.1,10.8,credit_card,2018-04-15 13:47:34
7,2039,28960,1.0,105.80000000000001,0.1,3.2,31.7,credit_card,2018-09-26 11:59:05
8,635,20418,4.0,659.0999999999999,0.3,12.3,123.3,credit_card,2018-07-15 12:37:12
0,5080,11883,1.0,103.6,0.3,5.6,55.8,credit_card,2018-05-30 22:33:08
1,6877,4738,1.0,181.10000000000002,0.2,12.3,122.6,money_order,2018-03-02 14:08:33
2,5317,11355,4.0,377.20000000000005,0.2,2.8,27.6,e_wallet,2018-12-29 14:27:41
3,6954,32009,1.0,109.9,0.1,3.7,36.8,credit_card,2018-10-25 15:36:18
4,478,3139,5.0,1014.5,0.2,14.5,145.0,e_wallet,2018-02-11 07:54:38
5,3428,27666,1.0,57.6,0.3,7.2,72.0,credit_card,2018-09-15 19:42:06
6,3130,16620,5.0,190.1,0.3,1.1,10.8,money_order,2018-06-13 08:19:23
7,8282,5655,1.0,82.3,0.3,2.5,24.9,credit_card,2018-09-04 08:39:50
8,7189,4351,4.0,752.5,0.2,13.3,132.5,credit_card,2018-02-26 12:32:39
0,601,26000,4.0,452.9,0.2,4.9,48.8,credit_card,2018-08-28 17:00:28
1,2170,28444,4.0,771.9,0.1,12.3,122.6,credit_card,2018-09-22 19:26:47
2,6872,3372,5.0,411.4,0.3,1.9,19.5,credit_card,2018-02-13 09:18:50
3,2654,17184,5.0,534.2,0.1,3.2,32.1,credit_card,2018-06-18 09:30:54
4,518,37317,5.0,888.3,0.3,13.3,132.5,money_order,2018-12-14 16:25:43
5,1862,6657,1.0,54.0,0.3,3.6,36.0,money_order,2018-03-20 12:30:40
6,6306,4993,1.0,40.5,0.3,2.7,27.0,credit_card,2018-03-04 17:24:57
7,7842,32957,1.0,82.5,0.3,2.7,27.2,money_order,2018-11-03 22:23:06
8,383,38841,1.0,175.6,0.3,13.9,139.5,credit_card,2018-12-29 14:29:44
0,2545,13837,5.0,492.49999999999994,0.3,2.5,25.0,credit_card,2018-05-18 20:59:24
1,8755,31155,1.0,181.5,0.2,12.7,126.8,e_wallet,2018-10-16 00:22:49
2,5839,19389,5.0,410.9,0.3,1.4,13.6,e_wallet,2018-07-05 09:16:49
3,1682,22273,4.0,332.79999999999995,0.3,2.4,23.8,credit_card,2018-07-27 12:45:51
4,840,19647,4.0,712.0,0.3,12.0,120.0,credit_card,2018-07-08 14:12:08
5,4476,37418,1.0,67.2,0.1,2.4,24.0,money_order,2018-12-15 16:59:11
6,6364,32058,5.0,217.1,0.2,1.1,10.8,credit_card,2018-10-25 19:30:09
7,4423,22223,1.0,82.6,0.3,2.8,28.3,credit_card,2018-08-28 21:27:43
8,8555,27776,5.0,936.8,0.2,12.8,127.9,credit_card,2018-09-16 21:07:16
0,3586,9698,1.0,131.6,0.1,5.6,55.8,credit_card,2018-05-15 19:55:51
1,8145,20148,4.0,601.4,0.3,10.6,105.7,money_order,2018-07-13 15:45:51
2,8395,8554,1.0,96.80000000000001,0.2,3.2,32.3,credit_card,2018-11-01 18:52:12
3,4268,4807,1.0,97.7,0.2,3.3,33.3,credit_card,2018-07-21 12:49:32
4,1239,36933,5.0,887.0,0.3,12.0,120.0,credit_card,2018-12-09 22:17:49
5,2687,5613,1.0,52.8,0.3,2.4,24.0,credit_card,2018-03-09 17:27:58
6,1440,32656,1.0,43.199999999999996,0.3,5.4,54.0,credit_card,2018-11-01 10:48:19
7,2851,26996,1.0,82.2,0.3,2.4,23.7,credit_card,2018-09-09 13:56:45
8,8372,24075,1.0,174.7,0.3,13.0,130.2,credit_card,2018-08-10 19:27:28
0,1876,23817,1.0,131.9,0.1,5.9,58.6,credit_card,2018-09-27 11:08:59
1,3580,5271,1.0,180.60000000000002,0.2,11.8,118.3,credit_card,2018-03-06 15:26:09
2,8622,10711,1.0,84.49999999999999,0.3,2.6,26.5,credit_card,2018-04-30 22:37:50
3,473,17868,4.0,428.1,0.1,3.3,33.3,money_order,2018-10-05 13:24:46
4,4266,3197,1.0,241.3,0.1,16.3,162.5,credit_card,2018-02-12 16:32:09
5,5397,21523,1.0,52.8,0.3,2.4,24.0,credit_card,2018-07-22 22:30:05
6,5734,29703,1.0,40.5,0.3,2.7,27.0,credit_card,2018-10-03 18:24:33
7,1214,14590,1.0,82.6,0.3,2.8,28.3,credit_card,2018-05-23 16:37:35
8,5298,23214,1.0,222.8,0.1,14.9,148.7,credit_card,2018-08-03 10:51:17
0,5839,13810,5.0,493.8999999999999,0.3,3.9,39.0,credit_card,2018-05-17 08:33:19
1,4039,33948,1.0,160.0,0.3,12.3,122.6,money_order,2018-11-10 13:42:06
2,5016,27972,4.0,329.9,0.3,2.3,23.0,e_wallet,2018-09-18 20:13:31
3,8447,4403,1.0,85.5,0.3,2.9,28.6,e_wallet,2018-02-27 14:43:47
4,6556,23491,5.0,,,13.3,132.5,credit_card,2018-08-05 17:27:54
5,4682,8480,4.0,203.4,0.3,1.8,18.0,money_order,2018-04-16 14:32:06
6,6843,18650,5.0,190.1,0.3,1.1,10.8,credit_card,2018-06-30 13:21:44
7,4138,12552,1.0,105.7,0.1,3.1,30.6,credit_card,2018-06-11 16:51:17
8,5637,5397,5.0,817.8,0.3,9.3,93.3,credit_card,2018-10-04 10:05:59
0,568,38848,1.0,102.9,0.3,4.9,48.8,credit_card,2018-12-29 16:17:53
1,6763,11089,5.0,747.4,0.3,8.9,88.8,credit_card,2018-07-17 21:55:56
2,7297,12210,1.0,83.8,0.3,1.9,19.5,credit_card,2018-05-09 14:32:09
3,815,33724,5.0,413.9,0.3,0.9,8.5,credit_card,2018-11-08 21:11:25
4,2598,27858,4.0,713.0,0.3,13.0,130.0,e_wallet,2018-09-17 11:25:39
5,285,5735,1.0,60.0,0.2,2.4,24.0,money_order,2018-09-22 13:48:18
6,8508,5741,1.0,39.599999999999994,0.3,1.8,18.0,credit_card,2018-03-11 21:43:24
7,5135,11409,1.0,81.5,0.3,1.7,16.9,credit_card,2018-05-04 10:29:14
8,8337,6409,5.0,820.1,0.3,11.6,116.4,money_order,2018-03-17 19:40:26
0,1217,6722,1.0,102.9,0.3,4.9,48.8,credit_card,2018-03-21 04:59:55
1,6609,25917,4.0,601.4,0.3,10.6,105.7,credit_card,2018-08-27 10:05:56
2,3423,7337,1.0,108.6,0.1,3.3,33.5,e_wallet,2018-12-18 20:59:28
3,274,15796,1.0,97.7,0.2,3.3,33.3,credit_card,2018-06-05 13:34:35
4,2172,3045,4.0,712.0,0.3,12.0,120.0,credit_card,2018-04-24 16:56:46
5,2290,6832,4.0,203.4,0.3,1.8,18.0,credit_card,2018-03-24 17:34:12
6,3478,23966,1.0,54.0,0.1,5.4,54.0,credit_card,2018-12-29 15:08:14
7,2625,10537,1.0,81.8,0.3,2.0,20.3,credit_card,2018-04-29 17:43:34
8,7312,23178,5.0,820.1,0.3,11.6,116.4,money_order,2018-09-03 13:47:14
0,6263,28249,1.0,131.6,0.1,5.6,55.8,money_order,2018-09-20 16:18:26
1,1554,18044,1.0,160.0,0.3,12.3,122.6,e_wallet,2018-06-25 23:13:41
2,2670,12152,1.0,97.10000000000001,0.2,3.5,34.7,credit_card,2018-05-08 14:38:14
3,2112,31210,4.0,332.79999999999995,0.3,2.4,23.8,credit_card,2018-10-16 19:05:54
4,8388,18939,4.0,916.0,0.1,16.0,160.0,credit_card,2018-07-02 20:47:24
5,7678,17801,1.0,54.0,0.3,3.6,36.0,debit_card,2018-06-23 23:59:03
6,6275,16921,5.0,244.1,0.1,1.1,10.8,credit_card,2018-06-16 22:34:16
7,3831,25353,1.0,82.7,0.3,2.9,29.4,credit_card,2018-08-22 15:04:08
8,2090,10055,1.0,199.0,0.2,14.2,141.8,money_order,2018-12-30 23:11:40
0,4438,24279,5.0,493.19999999999993,0.3,3.2,32.0,credit_card,2018-08-12 18:48:56
1,7449,22927,1.0,160.0,0.3,12.3,122.6,money_order,2018-08-01 07:47:34
2,7243,30082,1.0,85.1,0.3,3.2,32.3,e_wallet,2018-10-06 14:21:47
3,6024,8510,5.0,534.2,0.1,3.2,32.1,credit_card,2018-04-17 13:12:47
4,5129,18572,4.0,713.0,0.3,13.0,130.0,credit_card,2018-06-30 17:36:43
5,5542,36733,1.0,67.2,0.1,2.4,24.0,money_order,2018-12-07 12:08:37
6,5999,16277,1.0,43.199999999999996,0.3,5.4,54.0,money_order,2018-06-10 09:04:09
7,3653,23870,1.0,82.89999999999999,0.3,3.1,30.6,credit_card,2018-08-08 18:00:36
8,3375,24612,5.0,936.8,0.2,12.8,127.9,debit_card,2018-10-30 21:57:55
0,3034,33674,4.0,395.2,0.3,3.2,32.0,debit_card,2018-11-08 10:49:59
1,2684,391,5.0,746.3,0.3,7.8,78.3,credit_card,2018-01-05 05:23:47
2,1636,27197,4.0,329.9,0.3,2.3,23.0,credit_card,2018-09-10 14:58:16
3,8517,23804,1.0,85.0,0.3,2.4,23.8,credit_card,2018-08-08 18:56:45
4,5104,20052,5.0,885.8,0.3,10.8,107.5,debit_card,2018-07-12 20:24:07
5,3836,9456,1.0,52.8,0.3,2.4,24.0,money_order,2018-04-24 14:15:53
6,6573,14698,1.0,40.5,0.3,2.7,27.0,credit_card,2018-11-30 17:46:40
7,717,13215,5.0,400.7,0.3,1.7,16.9,credit_card,2018-05-15 09:10:20
8,4547,17647,1.0,175.89999999999998,0.3,14.2,141.8,money_order,2018-06-22 19:22:26
0,398,31163,1.0,117.2,0.2,5.2,51.6,credit_card,2018-10-16 00:01:56
1,7616,11320,5.0,747.4,0.3,8.9,88.8,credit_card,2018-07-28 18:21:00
2,320,10340,1.0,84.19999999999999,0.3,2.3,23.0,credit_card,2018-04-28 21:07:26
3,1843,24141,1.0,98.0,0.2,3.6,35.6,credit_card,2018-08-11 14:13:54
4,7889,13352,5.0,1014.5,0.2,14.5,145.0,credit_card,2018-12-17 15:21:11
5,1705,29685,1.0,72.0,0.1,7.2,72.0,credit_card,2018-10-03 11:52:11
6,6434,11823,1.0,43.199999999999996,0.3,5.4,54.0,e_wallet,2018-05-07 21:49:08
7,1374,6316,1.0,94.4,0.2,3.2,31.7,credit_card,2018-12-09 14:58:05
8,5452,25929,1.0,174.0,0.3,12.3,123.3,credit_card,2018-08-27 15:53:44
0,620,17927,4.0,509.4,0.1,5.4,54.4,credit_card,2018-06-24 11:40:28
1,6768,30415,4.0,599.6999999999999,0.3,8.9,88.8,credit_card,2018-10-09 11:02:51
2,8605,8021,4.0,377.20000000000005,0.2,2.8,27.6,credit_card,2018-04-11 22:16:49
3,5472,32330,1.0,97.7,0.2,3.3,33.3,credit_card,2018-10-28 11:08:58
4,1589,32679,1.0,216.0,0.2,16.0,160.0,credit_card,2018-11-01 14:58:41
5,3860,9534,1.0,61.2,0.2,3.6,36.0,e_wallet,2018-04-24 17:37:41
6,407,23188,1.0,43.199999999999996,0.3,5.4,54.0,money_order,2018-08-03 14:56:55
7,6003,25680,4.0,320.3,0.3,1.1,11.2,credit_card,2018-09-27 10:24:22
8,2294,18591,4.0,845.8000000000001,0.1,14.2,141.8,credit_card,2018-09-10 16:22:27
0,1132,8150,1.0,102.6,0.3,4.6,46.0,credit_card,2018-04-13 10:07:36
1,6262,21547,4.0,771.9,0.1,12.3,122.6,credit_card,2018-07-23 10:21:28
2,3878,25790,1.0,85.19999999999999,0.3,3.3,33.5,credit_card,2018-09-03 20:44:15
3,2447,16463,5.0,474.6,0.2,2.6,26.2,credit_card,2018-06-12 19:27:08
4,1776,21816,1.0,190.0,0.3,15.0,150.0,credit_card,2018-07-24 17:19:00
5,4086,30061,1.0,52.8,0.3,2.4,24.0,credit_card,2018-12-07 23:46:19
6,7730,29954,1.0,40.5,0.3,2.7,27.0,e_wallet,2018-10-05 11:36:11
7,5749,24582,1.0,82.3,0.3,2.5,24.9,credit_card,2018-08-15 23:27:21
8,1812,32448,4.0,659.0999999999999,0.3,12.3,123.3,credit_card,2018-10-29 00:10:49
0,1701,5182,5.0,635.3,0.1,5.3,53.0,credit_card,2018-06-19 21:07:32
1,459,38797,5.0,748.4,0.3,9.9,99.4,credit_card,2018-12-29 12:00:11
2,1252,37421,1.0,84.49999999999999,0.3,2.6,26.5,credit_card,2018-12-15 20:23:45
3,5002,38652,1.0,86.0,0.3,3.4,34.5,credit_card,2018-12-27 22:14:59
4,2131,32977,1.0,216.5,0.2,16.5,165.0,credit_card,2018-11-03 13:32:54
5,450,17575,1.0,52.8,0.3,2.4,24.0,credit_card,2018-06-21 17:08:01
6,1441,4312,4.0,152.6,0.3,1.4,13.5,debit_card,2018-02-26 11:08:38
7,5488,3293,5.0,400.7,0.3,1.7,16.9,money_order,2018-02-13 15:07:45
8,6151,33877,1.0,173.29999999999998,0.3,11.6,116.4,credit_card,2018-11-09 20:36:13
0,1349,5387,5.0,564.6,0.2,4.6,46.0,credit_card,2018-03-07 09:40:04
