customer_key,store_key,customer_cumulative_spent,customer_level,date_time
153,265,634.7,Diamond,2018-01-03 00:20:58
214,182,1682.9,VIP,2018-01-03 00:41:52
193,235,555.9,Diamond,2018-01-03 06:55:42
205,89,571.9,Diamond,2018-01-03 08:34:54
152,149,876.1,Diamond,2018-01-03 08:48:54
192,244,587.6,Diamond,2018-01-03 09:20:37
224,281,117.6,Gold,2018-01-03 09:53:38
202,162,286.0,Platinum,2018-01-03 10:00:51
171,7,356.9,Platinum,2018-01-03 10:08:21
199,290,103.0,Gold,2018-01-03 10:40:18
155,43,352.6,Platinum,2018-01-03 11:23:30
170,14,110.4,Gold,2018-01-03 11:27:21
175,4,210.0,Gold,2018-01-03 11:54:15
241,175,453.1,Platinum,2018-01-03 11:54:16
201,5,1109.2,VIP,2018-01-03 12:06:02
230,136,73.6,Member,2018-01-03 12:18:08
164,143,203.7,Gold,2018-01-03 12:53:26
221,199,203.7,Gold,2018-01-03 12:53:56
196,63,450.1,Platinum,2018-01-03 13:09:28
203,120,50.1,Member,2018-01-03 13:21:39
172,81,183.8,Gold,2018-01-03 13:26:11
240,147,594.4,Diamond,2018-01-03 13:51:56
239,183,270.0,Platinum,2018-01-03 14:29:58
177,69,174.1,Gold,2018-01-03 14:32:26
236,79,759.1,Diamond,2018-01-03 16:03:14
217,192,707.5,Diamond,2018-01-03 16:17:28
185,166,1021.7,VIP,2018-01-03 16:26:37
218,95,236.3,Gold,2018-01-03 16:56:50
166,56,425.8,Platinum,2018-01-03 17:41:15
220,46,72.9,Member,2018-01-03 18:29:36
229,128,684.8,Diamond,2018-01-03 18:48:58
219,92,430.4,Platinum,2018-01-03 18:59:57
243,264,262.8,Platinum,2018-01-03 19:02:17
147,196,320.1,Platinum,2018-01-03 19:05:31
242,208,1003.7,VIP,2018-01-03 19:25:18
215,204,240.8,Gold,2018-01-03 19:29:06
161,247,1556.4,VIP,2018-01-03 19:46:08
194,99,256.3,Platinum,2018-01-03 19:57:22
179,91,488.4,Platinum,2018-01-03 19:57:42
195,276,988.6,Diamond,2018-01-03 20:06:39
208,96,456.8,Platinum,2018-01-03 20:09:58
148,128,1124.2,VIP,2018-01-03 21:10:45
235,266,300.3,Platinum,2018-01-03 21:23:41
143,201,49.7,Member,2018-01-03 21:36:05
178,90,1043.9,VIP,2018-01-03 22:31:31
222,69,1812.8,VIP,2018-01-03 22:41:26
176,223,2080.5,VIP,2018-01-03 22:51:20
158,39,75.6,Member,2018-01-03 22:51:30
165,56,707.9,Diamond,2018-01-03 22:56:01
206,133,841.7,Diamond,2018-01-03 23:22:22
181,291,467.6,Platinum,2018-01-03 23:44:39
151,53,42.2,Member,2018-01-03 23:55:15
269,188,545.4,Diamond,2018-01-04 00:05:29
331,238,400.2,Platinum,2018-01-04 01:16:49
250,258,469.6,Platinum,2018-01-04 09:36:23
304,279,295.4,Platinum,2018-01-04 10:05:53
284,272,87.9,Member,2018-01-04 10:16:04
340,219,547.6,Diamond,2018-01-04 10:17:39
254,212,1738.2,VIP,2018-01-04 10:23:30
315,129,151.8,Gold,2018-01-04 10:27:27
313,77,152.7,Gold,2018-01-04 10:43:19
291,123,116.9,Gold,2018-01-04 10:45:25
256,254,153.3,Gold,2018-01-04 10:53:33
279,280,409.2,Platinum,2018-01-04 11:03:14
328,46,534.3,Diamond,2018-01-04 11:17:09
268,54,991.0,Diamond,2018-01-04 11:31:15
271,51,138.8,Gold,2018-01-04 12:05:11
320,143,346.2,Platinum,2018-01-04 12:06:11
341,149,427.0,Platinum,2018-01-04 12:47:40
252,275,942.3,Diamond,2018-01-04 12:49:02
302,71,739.8,Diamond,2018-01-04 12:53:17
308,171,329.7,Platinum,2018-01-04 13:05:06
278,149,247.0,Gold,2018-01-04 13:15:46
262,118,433.8,Platinum,2018-01-04 14:04:56
273,120,876.0,Diamond,2018-01-04 14:06:42
338,183,197.2,Gold,2018-01-04 15:07:21
260,159,926.9,Diamond,2018-01-04 15:11:59
332,103,642.7,Diamond,2018-01-04 15:12:18
329,157,654.5,Diamond,2018-01-04 15:20:19
255,92,262.5,Platinum,2018-01-04 15:28:26
305,272,912.0,Diamond,2018-01-04 15:38:08
310,187,297.3,Platinum,2018-01-04 15:44:44
275,263,1532.6,VIP,2018-01-04 15:47:48
319,177,81.8,Member,2018-01-04 16:02:18
282,133,350.6,Platinum,2018-01-04 16:18:22
292,257,34.9,Member,2018-01-04 16:29:11
321,193,163.7,Gold,2018-01-04 16:29:59
270,283,867.3,Diamond,2018-01-04 16:40:00
336,165,294.2,Platinum,2018-01-04 16:41:59
258,284,651.3,Diamond,2018-01-04 17:38:57
281,266,162.6,Gold,2018-01-04 18:02:37
326,206,50.2,Member,2018-01-04 18:12:37
334,147,381.1,Platinum,2018-01-04 18:40:47
339,36,560.0,Diamond,2018-01-04 18:47:46
290,49,112.7,Gold,2018-01-04 19:08:47
283,284,137.6,Gold,2018-01-04 19:47:07
280,230,76.2,Member,2018-01-04 20:11:47
276,129,126.0,Gold,2018-01-04 20:20:39
288,263,110.1,Gold,2018-01-04 20:20:54
293,269,966.4,Diamond,2018-01-04 20:48:30
248,43,1779.9,VIP,2018-01-04 21:04:10
300,244,221.4,Gold,2018-01-04 21:17:03
322,38,596.4,Diamond,2018-01-04 21:32:35
323,253,451.0,Platinum,2018-01-04 21:35:54
314,271,2366.9,VIP,2018-01-04 21:45:01
299,184,261.1,Platinum,2018-01-04 21:48:39
285,77,1163.7,VIP,2018-01-04 23:16:47
311,92,621.5,Diamond,2018-01-04 23:39:01
335,81,459.9,Platinum,2018-01-04 23:44:53
360,261,127.8,Gold,2018-01-05 03:54:42
391,139,1234.8,VIP,2018-01-05 05:23:47
355,208,156.4,Gold,2018-01-05 08:32:37
413,161,245.9,Gold,2018-01-05 08:41:18
420,173,422.1,Platinum,2018-01-05 09:45:38
397,237,520.6,Diamond,2018-01-05 10:28:57
424,87,242.6,Gold,2018-01-05 10:44:47
343,145,372.3,Platinum,2018-01-05 11:44:41
359,59,736.4,Diamond,2018-01-05 11:55:04
429,189,156.8,Gold,2018-01-05 12:34:04
392,55,684.7,Diamond,2018-01-05 12:41:38
357,28,579.5,Diamond,2018-01-05 12:44:09
398,27,407.1,Platinum,2018-01-05 13:04:05
395,243,187.8,Gold,2018-01-05 13:12:43
421,243,1073.9,VIP,2018-01-05 13:36:03
350,279,831.4,Diamond,2018-01-05 13:39:21
410,271,157.3,Gold,2018-01-05 13:56:51
370,230,1440.3,VIP,2018-01-05 14:20:47
416,89,667.9,Diamond,2018-01-05 14:23:31
372,37,341.1,Platinum,2018-01-05 14:36:14
415,80,430.7,Platinum,2018-01-05 14:37:27
388,108,219.2,Gold,2018-01-05 14:47:58
422,184,259.2,Platinum,2018-01-05 14:49:49
368,82,152.2,Gold,2018-01-05 15:13:49
430,42,645.4,Diamond,2018-01-05 15:31:16
364,40,261.0,Platinum,2018-01-05 16:00:59
384,7,164.2,Gold,2018-01-05 16:54:23
348,284,738.0,Diamond,2018-01-05 16:57:40
378,185,2515.3,VIP,2018-01-05 17:05:00
428,123,1956.0,VIP,2018-01-05 17:06:27
379,252,187.9,Gold,2018-01-05 17:11:49
344,121,570.4,Diamond,2018-01-05 17:32:01
419,135,161.3,Gold,2018-01-05 17:32:22
399,215,371.1,Platinum,2018-01-05 17:40:46
347,16,562.3,Diamond,2018-01-05 18:43:21
393,221,135.1,Gold,2018-01-05 19:12:29
408,22,637.5,Diamond,2018-01-05 19:21:05
381,91,580.2,Diamond,2018-01-05 19:24:25
396,191,218.2,Gold,2018-01-05 19:31:42
407,209,88.6,Member,2018-01-05 19:38:32
417,151,420.1,Platinum,2018-01-05 19:48:11
374,42,186.6,Gold,2018-01-05 21:10:56
353,183,182.7,Gold,2018-01-05 21:21:43
371,17,421.8,Platinum,2018-01-05 21:34:42
427,152,716.5,Diamond,2018-01-05 21:45:24
414,223,406.5,Platinum,2018-01-05 21:54:27
358,82,103.6,Gold,2018-01-05 22:11:35
401,255,209.6,Gold,2018-01-05 22:31:44
351,14,1747.4,VIP,2018-01-05 22:39:46
373,243,1082.5,VIP,2018-01-05 22:52:23
493,241,618.2,Diamond,2018-01-06 00:22:20
480,82,770.5,Diamond,2018-01-06 02:53:39
449,149,348.2,Platinum,2018-01-06 05:44:55
490,93,60.2,Member,2018-01-06 07:08:15
515,269,1052.8,VIP,2018-01-06 08:28:19
514,198,317.8,Platinum,2018-01-06 08:36:57
465,40,247.7,Gold,2018-01-06 08:37:41
517,270,434.8,Platinum,2018-01-06 08:47:56
448,33,731.3,Diamond,2018-01-06 08:49:02
496,146,314.0,Platinum,2018-01-06 09:22:35
499,45,850.7,Diamond,2018-01-06 10:12:12
459,104,435.7,Platinum,2018-01-06 10:13:53
481,223,129.3,Gold,2018-01-06 10:22:39
491,43,116.0,Gold,2018-01-06 10:27:34
464,40,243.1,Gold,2018-01-06 10:36:09
461,55,366.7,Platinum,2018-01-06 10:48:07
506,123,108.8,Gold,2018-01-06 11:05:43
475,42,217.1,Gold,2018-01-06 11:10:38
443,89,2540.3,VIP,2018-01-06 11:52:25
492,289,1532.7,VIP,2018-01-06 12:22:07
486,254,1386.0,VIP,2018-01-06 12:24:56
469,171,310.5,Platinum,2018-01-06 12:51:54
522,140,1285.0,VIP,2018-01-06 13:11:31
473,4,2014.5,VIP,2018-01-06 13:16:56
488,93,342.5,Platinum,2018-01-06 13:30:12
494,74,473.9,Platinum,2018-01-06 13:34:07
511,281,330.4,Platinum,2018-01-06 13:39:20
450,32,2252.8,VIP,2018-01-06 14:03:19
508,271,1378.6,VIP,2018-01-06 15:02:17
462,144,629.9,Diamond,2018-01-06 15:02:44
478,142,242.4,Gold,2018-01-06 15:19:40
510,243,169.7,Gold,2018-01-06 15:34:13
505,7,1798.4,VIP,2018-01-06 15:58:57
476,277,393.6,Platinum,2018-01-06 16:05:51
484,76,538.3,Diamond,2018-01-06 17:10:05
445,260,1263.3,VIP,2018-01-06 17:32:43
453,284,280.3,Platinum,2018-01-06 18:07:40
439,34,272.4,Platinum,2018-01-06 19:10:16
497,78,2001.9,VIP,2018-01-06 19:16:59
463,38,245.0,Gold,2018-01-06 19:38:34
441,222,543.3,Diamond,2018-01-06 20:05:04
519,201,720.2,Diamond,2018-01-06 20:10:59
509,146,217.5,Gold,2018-01-06 20:15:20
456,34,172.3,Gold,2018-01-06 21:54:56
482,255,3004.7,VIP,2018-01-06 22:00:27
438,49,217.9,Gold,2018-01-06 22:23:25
571,171,183.2,Gold,2018-01-07 00:16:57
549,87,939.3,Diamond,2018-01-07 00:54:40
590,249,423.1,Platinum,2018-01-07 06:49:55
597,11,476.7,Platinum,2018-01-07 09:10:58
526,162,593.4,Diamond,2018-01-07 09:17:38
539,203,979.8,Diamond,2018-01-07 09:33:06
587,5,252.6,Platinum,2018-01-07 09:57:16
585,39,167.0,Gold,2018-01-07 10:14:19
589,233,122.1,Gold,2018-01-07 10:38:35
530,183,248.1,Gold,2018-01-07 10:49:24
547,152,403.7,Platinum,2018-01-07 10:55:54
566,10,386.6,Platinum,2018-01-07 11:19:19
556,247,502.6,Diamond,2018-01-07 11:23:17
594,180,321.3,Platinum,2018-01-07 11:37:12
551,280,1325.6,VIP,2018-01-07 11:52:52
575,181,669.4,Diamond,2018-01-07 12:52:12
564,216,527.9,Diamond,2018-01-07 13:59:13
544,59,404.6,Platinum,2018-01-07 14:29:09
574,157,316.9,Platinum,2018-01-07 14:34:55
532,78,128.3,Gold,2018-01-07 14:42:07
584,152,863.2,Diamond,2018-01-07 14:42:24
553,15,896.4,Diamond,2018-01-07 14:59:27
555,247,356.1,Platinum,2018-01-07 14:59:47
546,202,344.8,Platinum,2018-01-07 15:12:40
572,90,344.7,Platinum,2018-01-07 15:33:38
577,144,1128.8,VIP,2018-01-07 16:02:40
550,228,722.1,Diamond,2018-01-07 16:40:07
568,56,1639.8,VIP,2018-01-07 16:43:53
592,97,633.5,Diamond,2018-01-07 16:56:35
563,80,790.7,Diamond,2018-01-07 16:59:37
554,35,195.6,Gold,2018-01-07 17:22:48
528,111,237.2,Gold,2018-01-07 17:26:31
558,94,745.5,Diamond,2018-01-07 17:56:41
535,96,518.8,Diamond,2018-01-07 17:59:14
538,114,538.2,Diamond,2018-01-07 19:24:09
573,116,552.8,Diamond,2018-01-07 20:37:26
586,288,1715.8,VIP,2018-01-07 20:43:38
561,225,1022.1,VIP,2018-01-07 21:19:32
569,238,1051.2,VIP,2018-01-07 22:33:52
578,77,595.3,Diamond,2018-01-07 22:46:30
581,146,93.1,Member,2018-01-07 23:26:44
632,25,323.3,Platinum,2018-01-08 02:18:40
612,10,759.1,Diamond,2018-01-08 08:25:32
665,204,705.0,Diamond,2018-01-08 09:11:46
624,133,283.6,Platinum,2018-01-08 09:52:27
598,248,967.0,Diamond,2018-01-08 09:55:44
676,158,78.5,Member,2018-01-08 10:33:01
607,150,463.0,Platinum,2018-01-08 10:47:54
662,231,426.6,Platinum,2018-01-08 11:50:02
674,125,345.8,Platinum,2018-01-08 12:01:38
664,215,811.4,Diamond,2018-01-08 12:05:08
617,173,228.3,Gold,2018-01-08 12:54:49
681,254,394.0,Platinum,2018-01-08 12:57:15
666,275,184.2,Gold,2018-01-08 13:09:41
608,248,472.2,Platinum,2018-01-08 13:43:07
603,268,771.4,Diamond,2018-01-08 13:50:10
675,193,162.3,Gold,2018-01-08 13:54:03
649,131,899.5,Diamond,2018-01-08 13:59:31
601,147,1057.1,VIP,2018-01-08 14:15:50
685,35,337.7,Platinum,2018-01-08 14:39:31
605,202,401.9,Platinum,2018-01-08 15:03:41
620,197,399.6,Platinum,2018-01-08 15:36:50
638,12,499.9,Platinum,2018-01-08 15:47:56
690,123,340.8,Platinum,2018-01-08 16:05:13
654,279,1714.1,VIP,2018-01-08 16:20:46
667,226,270.2,Platinum,2018-01-08 16:48:00
633,123,223.4,Gold,2018-01-08 16:50:45
673,97,679.1,Diamond,2018-01-08 17:43:26
668,15,396.9,Platinum,2018-01-08 18:04:57
616,239,297.0,Platinum,2018-01-08 18:33:23
641,27,562.7,Diamond,2018-01-08 18:39:08
604,175,1803.2,VIP,2018-01-08 18:59:57
630,0,513.4,Diamond,2018-01-08 19:20:19
643,277,231.0,Gold,2018-01-08 19:25:19
629,60,251.9,Platinum,2018-01-08 19:34:49
652,106,1874.2,VIP,2018-01-08 20:07:54
628,286,109.4,Gold,2018-01-08 21:12:48
680,272,782.8,Diamond,2018-01-08 21:42:35
621,79,88.3,Member,2018-01-08 21:43:00
635,248,111.9,Gold,2018-01-08 21:58:32
684,210,120.5,Gold,2018-01-08 22:00:57
644,177,1075.7,VIP,2018-01-08 22:08:28
679,281,243.3,Gold,2018-01-08 22:14:41
636,211,83.5,Member,2018-01-08 22:34:11
626,245,1853.2,VIP,2018-01-08 22:49:52
677,148,105.0,Gold,2018-01-08 23:00:39
660,137,296.1,Platinum,2018-01-08 23:29:17
646,222,468.8,Platinum,2018-01-08 23:34:17
656,205,612.0,Diamond,2018-01-08 23:50:17
637,212,389.9,Platinum,2018-01-08 23:51:49
619,70,25.8,Member,2018-01-08 23:56:02
755,111,972.5,Diamond,2018-01-09 07:41:44
766,241,427.2,Platinum,2018-01-09 07:59:22
746,187,414.2,Platinum,2018-01-09 08:12:29
792,66,141.8,Gold,2018-01-09 08:49:32
774,224,358.8,Platinum,2018-01-09 10:22:29
703,279,330.9,Platinum,2018-01-09 10:34:56
804,296,848.2,Diamond,2018-01-09 10:36:49
724,197,73.9,Member,2018-01-09 10:41:42
705,72,298.4,Platinum,2018-01-09 10:51:59
794,192,117.5,Gold,2018-01-09 10:54:14
741,96,353.4,Platinum,2018-01-09 11:13:00
711,131,85.7,Member,2018-01-09 11:43:52
781,1,633.4,Diamond,2018-01-09 11:44:19
789,128,1051.0,VIP,2018-01-09 11:56:10
691,130,350.1,Platinum,2018-01-09 11:56:16
709,51,406.3,Platinum,2018-01-09 12:15:42
698,118,57.8,Member,2018-01-09 12:17:50
801,76,340.4,Platinum,2018-01-09 12:46:25
803,90,253.5,Platinum,2018-01-09 12:48:09
791,159,2105.0,VIP,2018-01-09 12:58:44
739,124,1157.9,VIP,2018-01-09 13:13:05
695,93,424.5,Platinum,2018-01-09 13:19:38
729,229,300.3,Platinum,2018-01-09 13:31:57
706,29,136.9,Gold,2018-01-09 13:40:58
761,232,364.4,Platinum,2018-01-09 13:54:06
770,237,161.9,Gold,2018-01-09 13:58:15
778,243,212.0,Gold,2018-01-09 14:36:54
744,245,138.9,Gold,2018-01-09 14:55:15
738,55,1538.2,VIP,2018-01-09 15:29:20
768,26,167.3,Gold,2018-01-09 16:06:46
742,204,402.4,Platinum,2018-01-09 16:08:56
732,126,2757.0,VIP,2018-01-09 16:10:20
728,201,608.6,Diamond,2018-01-09 16:52:39
750,28,799.5,Diamond,2018-01-09 16:58:37
788,158,128.5,Gold,2018-01-09 17:34:15
743,39,321.9,Platinum,2018-01-09 17:58:37
769,257,541.2,Diamond,2018-01-09 18:00:12
805,103,187.3,Gold,2018-01-09 18:06:36
700,260,272.3,Platinum,2018-01-09 18:47:07
779,8,484.8,Platinum,2018-01-09 18:52:43
694,132,200.5,Gold,2018-01-09 18:53:48
759,45,1181.9,VIP,2018-01-09 19:02:53
710,26,1174.1,VIP,2018-01-09 19:03:24
740,35,80.4,Member,2018-01-09 19:07:28
736,171,245.3,Gold,2018-01-09 19:57:02
702,262,198.7,Gold,2018-01-09 20:10:04
692,287,214.1,Gold,2018-01-09 20:20:55
806,273,1067.3,VIP,2018-01-09 20:23:13
696,175,587.0,Diamond,2018-01-09 20:30:25
798,59,473.2,Platinum,2018-01-09 20:57:37
793,271,937.2,Diamond,2018-01-09 21:01:08
752,154,1958.9,VIP,2018-01-09 21:24:15
799,61,162.3,Gold,2018-01-09 21:51:21
802,167,1824.5,VIP,2018-01-09 22:12:41
786,202,455.4,Platinum,2018-01-09 22:21:16
699,228,520.0,Diamond,2018-01-09 22:26:15
800,192,36.6,Member,2018-01-09 22:31:44
797,175,533.9,Diamond,2018-01-09 22:36:44
771,45,257.0,Platinum,2018-01-09 22:36:49
749,127,1433.1,VIP,2018-01-09 22:44:21
737,188,619.0,Diamond,2018-01-09 22:55:32
708,178,234.7,Gold,2018-01-09 23:04:01
720,76,252.7,Platinum,2018-01-09 23:26:55
693,292,481.6,Platinum,2018-01-09 23:33:10
819,196,865.0,Diamond,2018-01-10 08:11:26
816,19,325.4,Platinum,2018-01-10 08:14:54
885,180,306.6,Platinum,2018-01-10 08:50:08
863,74,801.6,Diamond,2018-01-10 09:00:43
807,42,707.2,Diamond,2018-01-10 09:21:38
907,131,315.3,Platinum,2018-01-10 09:41:58
868,98,1082.5,VIP,2018-01-10 10:49:17
835,177,419.1,Platinum,2018-01-10 11:04:32
899,55,2558.5,VIP,2018-01-10 11:08:53
889,238,1405.8,VIP,2018-01-10 11:11:11
833,289,173.3,Gold,2018-01-10 11:33:15
843,23,418.1,Platinum,2018-01-10 11:34:06
902,102,222.1,Gold,2018-01-10 11:37:45
888,225,881.3,Diamond,2018-01-10 11:39:06
894,3,241.3,Gold,2018-01-10 11:42:47
811,186,944.1,Diamond,2018-01-10 12:03:02
864,216,768.3,Diamond,2018-01-10 12:39:06
874,75,711.8,Diamond,2018-01-10 13:09:01
824,179,422.0,Platinum,2018-01-10 13:09:55
909,226,718.0,Diamond,2018-01-10 13:55:30
895,135,183.1,Gold,2018-01-10 13:59:48
856,104,999.0,Diamond,2018-01-10 14:12:01
890,61,455.1,Platinum,2018-01-10 14:20:38
849,70,1645.8,VIP,2018-01-10 14:29:43
870,129,144.4,Gold,2018-01-10 14:53:25
892,238,1687.0,VIP,2018-01-10 15:20:14
878,88,795.8,Diamond,2018-01-10 15:32:24
859,201,1573.4,VIP,2018-01-10 15:49:59
821,103,145.8,Gold,2018-01-10 15:57:19
883,149,170.2,Gold,2018-01-10 15:59:34
880,76,72.9,Member,2018-01-10 16:43:48
858,232,394.0,Platinum,2018-01-10 17:02:45
881,297,555.5,Diamond,2018-01-10 18:05:54
900,132,1236.7,VIP,2018-01-10 18:57:45
898,144,334.8,Platinum,2018-01-10 19:11:18
848,233,1324.7,VIP,2018-01-10 20:01:16
872,281,117.1,Gold,2018-01-10 20:04:58
875,231,90.8,Member,2018-01-10 20:07:44
822,294,68.1,Member,2018-01-10 20:20:39
818,12,673.2,Diamond,2018-01-10 20:21:13
845,94,110.4,Gold,2018-01-10 20:23:53
817,54,88.3,Member,2018-01-10 20:33:18
820,189,617.3,Diamond,2018-01-10 20:39:38
814,51,1307.0,VIP,2018-01-10 20:56:12
830,43,676.1,Diamond,2018-01-10 21:08:34
831,196,245.4,Gold,2018-01-10 21:33:47
901,188,356.9,Platinum,2018-01-10 22:17:59
832,7,102.9,Gold,2018-01-10 22:25:06
897,78,805.5,Diamond,2018-01-10 22:35:38
829,3,1401.7,VIP,2018-01-10 22:37:07
852,119,234.4,Gold,2018-01-10 23:12:54
904,169,498.8,Platinum,2018-01-10 23:13:16
826,106,1621.1,VIP,2018-01-10 23:17:10
825,57,363.1,Platinum,2018-01-10 23:51:07
914,235,364.9,Platinum,2018-01-11 00:58:33
984,243,842.9,Diamond,2018-01-11 01:46:04
936,193,178.6,Gold,2018-01-11 07:44:31
932,266,207.0,Gold,2018-01-11 09:42:41
985,121,137.8,Gold,2018-01-11 10:15:04
956,201,494.8,Platinum,2018-01-11 10:23:09
969,126,119.1,Gold,2018-01-11 11:01:17
924,55,400.6,Platinum,2018-01-11 11:03:15
954,55,33.7,Member,2018-01-11 11:04:43
976,178,120.8,Gold,2018-01-11 11:05:30
934,247,218.9,Gold,2018-01-11 11:41:40
933,31,283.3,Platinum,2018-01-11 12:01:42
937,167,1619.9,VIP,2018-01-11 12:05:32
978,4,187.7,Gold,2018-01-11 12:45:13
944,211,138.1,Gold,2018-01-11 13:17:05
922,111,201.0,Gold,2018-01-11 13:36:29
959,235,806.7,Diamond,2018-01-11 14:49:50
966,154,178.3,Gold,2018-01-11 15:12:05
979,221,161.3,Gold,2018-01-11 15:12:34
961,199,907.7,Diamond,2018-01-11 15:44:53
931,276,236.0,Gold,2018-01-11 15:47:38
925,73,1419.8,VIP,2018-01-11 15:51:34
923,41,302.0,Platinum,2018-01-11 16:40:26
970,86,260.6,Platinum,2018-01-11 17:12:28
965,90,564.2,Diamond,2018-01-11 17:29:28
915,10,680.6,Diamond,2018-01-11 17:32:45
935,229,124.7,Gold,2018-01-11 18:20:16
941,128,861.6,Diamond,2018-01-11 19:29:48
919,273,482.6,Platinum,2018-01-11 19:50:54
972,89,326.6,Platinum,2018-01-11 20:17:39
953,234,489.2,Platinum,2018-01-11 20:19:10
962,61,200.7,Gold,2018-01-11 20:28:09
982,26,141.7,Gold,2018-01-11 20:45:40
940,94,492.8,Platinum,2018-01-11 21:55:04
920,19,221.2,Gold,2018-01-11 22:25:23
1009,105,371.1,Platinum,2018-01-12 00:23:00
1015,35,57.0,Member,2018-01-12 00:51:41
1060,279,343.8,Platinum,2018-01-12 01:05:34
1054,286,1511.7,VIP,2018-01-12 02:31:17
997,124,369.0,Platinum,2018-01-12 04:36:32
1058,6,146.7,Gold,2018-01-12 07:44:01
992,163,322.8,Platinum,2018-01-12 08:21:15
1029,266,731.0,Diamond,2018-01-12 08:41:46
1048,218,942.3,Diamond,2018-01-12 08:56:17
1038,36,1550.7,VIP,2018-01-12 09:19:59
1061,37,393.6,Platinum,2018-01-12 10:06:07
1021,236,284.1,Platinum,2018-01-12 10:25:23
